,index,match_api_id,country,season,comment,stats,event_incident_typefk,elapsed,player2,subtype,player1,sortorder,team,id,n,type,goal_type,elapsed_plus,coordinates,del
33035,5,1505997.0,Spain,2013/2014,n,,71,68,,,213470.0,0,8315.0,3208317,29,goal,n,,,
33036,6,1505997.0,Spain,2013/2014,p,,20,87,,,213470.0,0,8315.0,3208523,30,goal,p,,,
33037,0,1778309.0,Spain,2014/2015,n,,406,9,45749.0,header,159881.0,3,8315.0,4286090,61,goal,n,,,
33038,1,1778309.0,Spain,2014/2015,n,,879,26,,lob,43375.0,2,8315.0,4286204,171,goal,n,,,
33039,2,1778309.0,Spain,2014/2015,o,,115,47,,,154938.0,5,8315.0,4286339,349,goal,o,,,
33040,0,530675.0,Spain,2008/2009,n,,71,19,,,37412.0,0,9906.0,695359,20,goal,n,,,
33041,1,530675.0,Spain,2008/2009,n,,71,27,,,33871.0,0,9906.0,695403,23,goal,n,,,
33042,2,530675.0,Spain,2008/2009,n,,71,49,,,38460.0,0,9906.0,695576,19,goal,n,,,
33043,0,684634.0,Spain,2009/2010,npm,,195,18,,,38460.0,0,9906.0,770540,2,goal,npm,,,
33044,1,684634.0,Spain,2009/2010,n,,71,26,,,46384.0,0,9865.0,770562,23,goal,n,,,
33045,2,684634.0,Spain,2009/2010,n,,71,28,,,31498.0,0,9906.0,770566,21,goal,n,,,
33046,3,684634.0,Spain,2009/2010,n,,71,55,,,38460.0,0,9906.0,770882,22,goal,n,,,
33047,4,684634.0,Spain,2009/2010,n,,71,89,,,46384.0,0,9865.0,771145,25,goal,n,,,
33048,0,875645.0,Spain,2010/2011,n,,80,33,,shot,37412.0,5,9906.0,1248797,312,goal,n,,,
33049,1,875645.0,Spain,2010/2011,n,,411,45,113627.0,volley,46384.0,3,9865.0,1248880,333,goal,n,,,
33050,0,1505598.0,Spain,2013/2014,n,,71,15,,,30909.0,0,9906.0,2982134,25,goal,n,,,
