"player_name";"player_api_id";"player_nation";"season";"team_long_name";"team_api_id";"season_player_age";"market_val_amnt";"player_pos";"team_country"
"Maximilian Eggestein";"602523";"Germany";"2015";"SV Werder Bremen";"8697";"19";"7500000";"CM";"Germany"
"Maximilian Philipp";"532738";"Germany";"2014";"SC Freiburg";"8358";"20";"7000000";"SS";"Germany"
"Maya Yoshida";"72665";"Japan";"2012";"Southampton";"8466";"24";"3200000";"CB";"England"
"Maynor Figueroa";"111865";"Honduras";"2013";"Hull City";"8667";"30";"100000";"CB";"England"
"Maynor Figueroa";"111865";"Honduras";"2014";"Hull City";"8667";"31";"100000";"CB";"England"
"Mehdi Mostefa";"143757";"Algeria";"2011";"AC Ajaccio";"8576";"28";"300000";"DM";"France"
"Mehdi Zeffane";"303358";"Algeria";"2015";"Stade Rennais FC";"9851";"23";"1000000";"RB";"France"
"Mehmet Ekici";"141396";"Turkey";"2011";"SV Werder Bremen";"8697";"21";"150000";"AM";"Germany"
"Mehmet Topal";"39782";"Turkey";"2010";"Valencia CF";"10267";"24";"250000";"DM";"Spain"
"Melvyn Lorenzen";"493160";"Germany";"2015";"SV Werder Bremen";"8697";"21";"250000";"LW";"Germany"
"Memphis Depay";"303824";"Netherlands";"2015";"Manchester United";"10260";"21";"45000000";"CF";"England"
"Mergim Mavraj";"28435";"Albania";"2014";"1. FC Köln";"8722";"28";"300000";"CB";"Germany"
"Mervan Celik";"136516";"Sweden";"2012";"Pescara";"9878";"22";"250000";"LW";"Italy"
"Mexer";"191788";"Mozambique";"2012";"CD Nacional";"10214";"24";"1200000";"CB";"Portugal"
"Mexer";"191788";"Mozambique";"2014";"Stade Rennais FC";"9851";"26";"1200000";"CB";"France"
"Michael Bradley";"26472";"United States";"2011";"Chievo Verona";"8533";"24";"500000";"CM";"Italy"
"Michael Frey";"304860";"Switzerland";"2014";"LOSC Lille";"8639";"20";"4000000";"CF";"France"
"Michael Gregoritsch";"198316";"Austria";"2015";"Hamburger SV";"9790";"21";"2000000";"SS";"Germany"
"Michael Jakobsen";"26886";"Denmark";"2010";"UD Almería";"9865";"24";"250000";"CB";"Spain"
"Michael Jordan N'Kololo";"354485";"DR Congo";"2015";"SM Caen";"7819";"23";"250000";"CF";"France"
"Michael Keane";"290410";"England";"2014";"Burnley";"8191";"21";"25000000";"CB";"England"
"Michael Mancienne";"29673";"England";"2009";"Wolverhampton Wanderers";"8602";"21";"400000";"CB";"England"
"Michael Mancienne";"29673";"England";"2010";"Wolverhampton Wanderers";"8602";"22";"400000";"CB";"England"
"Michael Mancienne";"29673";"England";"2011";"Hamburger SV";"9790";"23";"400000";"CB";"Germany"
"Michael de Leeuw";"179239";"Netherlands";"2011";"De Graafschap";"8526";"25";"300000";"CF";"Netherlands"
